Input,Category
"डलरको भाउ हालसम्मकै उच्च, किन बढिरहेको छ भाउ ? ",business
१२ वर्षमा २८ हजार मेगावाट बिजुली उत्पादनको लक्ष्य,business
भूतप्रभावी करविरुद्ध १६ बैंक अदालतमा,business
तेस्रो देशका पर्यटकलाई भारतको ‘अघोषित नाकाबन्दी’,business
साउन र भदौमा सरकारले उठायो कुल १ खर्ब ४१ अर्ब राजस्व,business
अर्थसचिव ४/४ महिनामा सरुवा‚ पुष्कर पुनः अर्थमाऋषिराम पौड्यालअर्थ मन्त्रालयको अर्थसचिवमा कृष्णहरि पुष्करलाई सरुवा गरिएको छ । शुक्रबारको मन्त्रिपरिषद् बैठकले अर्थसचिव अर्जुन पोखरेललाई हटाएर पुष्करलाई पठाउने निर्णय गरेको हो । अर्थसचिव पोखरेललाई प्रधानमन्त्री तथा मन्त्रिपरिषद् कार्यालयमा सरुवा गरिएको छ ।   संग्रह  सेयर,business
"बढ्यो सेयर बजार, कारोबार ८७ करोडमा सीमित कान्तिपुर संवाददातासोमबार अन्ततः सेयर बजार सम्हालिएको छ । ब्याजदर वृद्धिका कारण आइतबार ४२ अंक घटेको सेयर बजार सोमबार भने ४ अंक बढ्यो । सो अंकको वृद्धिपछि नेप्से १९६९ अंकमा कायम भएको छ ।  संग्रह  सेयर",business
सरकारले शून्य ब्याजदरको ६३ अर्ब निक्षेप दिँदा पनि बैंकले बढाए ब्याजकान्तिपुर संवाददाताअसोजका लागि आठ वटा वाणिज्य बैंकले बचत र मुद्दती निक्षेपको ब्याज सामान्य दरले बढाएका छन् । बाँकी १२ मध्ये आठ वटाले निक्षेपको ब्याजदर घटाएका छन् । चार वटा बैंकले कुनै परिवर्तन गरेका छैनन् । ब्याज घटाउने सर्तस्वरूप अर्थ मन्त्रालयले स्थानीय तहको खातामा रहेको रकममध्ये ६० प्रतिशत वाणिज्य बैंकहरूले निक्षेपका रूपमा गणना गर्ने सुविधा दिए पनि असोजमा झन्डै आधा बैंकले निक्षेपको ब्याज बढाएका हुन् ।  संग्रह  सेयर,business
"कर्णाली सरकारको विकास : तीन वर्षमा ७८ किमि मात्र सडक कालोपत्रतृप्ति शाहीकर्णालीमा ३ वर्षमा ७८.९५ किलोमिटर सडक मात्र कालोपत्र भएको छ । कर्णालीमा मुगु, हुम्ला र डोल्पामा सडक नै कालोपत्र गरिएको छैन भने हुम्ला सदरमुकाम सिमकोट अहिलेसम्म राष्ट्रिय सडक सञ्जालमा जोडिएको छैन ।  संग्रह  सेयर",business
विद्युत् विधेयकले आयोजनामा निजी क्षेत्रको ढोका बन्द गर्‍यो : इप्पानकान्तिपुर संवाददातासरकारले जलविद्युत् आयोजनामा निजी क्षेत्रलाई पाखा लगाउने काम गरेको भन्दै निजी क्षेत्रले आपत्ति जनाएको छ । संघीय संसद्मा दर्ता भएको ‘विद्युत् विधेयक–०८०’ मा १२ बुँदे असहमति राख्दै निजी क्षेत्रले विधेयक पास भए यसले जलविद्युत् क्षेत्रबाट पलायनको अवस्था आउने जनाएको छ ।  संग्रह  सेयर,business
७६ हजारले अवलोकन गर्दै सकियो नाडा अटो सोकान्तिपुर संवाददाताचार वर्षपछि आयोजना गरिएको १५ औं संस्करणको नाडा अटो सो सकिएको छ । भदौ २६ मा सुरु भएर ३१ मा सकिएको अटो सो ७६ हजार १ सय जनाले अवलोकन गरेको आयोजक नाडा अटोमोबाइल्स एसोसिएसन अफ नेपालले जनाएको छ । अटो सोमा दुई र चारपांग्रे दुवै किसिमका सवारीमा दर्शकको आकर्षण उत्तिकै रहेको नाडाको भनाइ छ ।  संग्रह  सेयर,business
"बक्सिङमा बक्समाण्डु र अल्फा टिम च्याम्पियनकान्तिपुर संवाददाता प्रथम युथ तथा जुनियर बक्सिङमा बक्समाण्डु बक्सिङ क्लब र अल्फा बक्सिङ क्लब टिम च्याम्पियन भएका छन्  । युथ पुरुषतर्फ ४ स्वर्ण, १ कांस्य गरी ५ पदक जित्दै बक्समाण्डु बक्सिङ क्लब च्याम्पियन बनेको हो ।  संग्रह  सेयर",sports
ओलम्पियन्स फोरममा नेपालको प्रशंसाकान्तिपुर संवाददातानेपाल ओलम्पियन्स संघले नेपालका विभिन्न ठाउँमा सञ्चालन गरेको स्कुल टु ओलम्पिक कार्यक्रमले तेस्रो वर्ल्ड ओलम्पियन्स फोरममा प्रशंसा पाएको छ ।  संग्रह  सेयर,sports
चिल्ड्रेन लाइफलाई उपाधिप्रकाश बरालजिल्ला फुटबल संघ बागलुङले आयोजना गरेको विद्यालयस्तरीय खुला फुटबलको उपाधि चिल्ड्रेन लाइफ आवासीय माविले जितेको छ ।   संग्रह  सेयर,sports
म्यानमारका दुई खेल र विश्वकप छनोटराजु घिसिङनेपाली राष्ट्रिय फुटबल टिम विश्वकप २०२६ छनोटको अन्तिम तयारीमा म्यानमारविरुद्ध दुई मैत्रीपूर्ण खेल खेलेर स्वदेश फर्किसकेको छ । यांगुनस्थित थुवुना रंगशालामा फिफा वरीयतामा १५ स्थानमाथिको टिमविरुद्ध पहिलो खेल गोलरहित टुंग्याएको नेपालले ८६ औं मिनेटमा भएको विवादास्पद गोलसँगै दोस्रो खेल १–० ले हारेको थियो ।  संग्रह  सेयर,sports
ग्रिनफिल्ड र गोल्डेनगेट च्याम्पियनकान्तिपुर संवाददाताग्रिनफिल्ड र गोल्डेनगेट इन्टरनेसनलले नेबा प्लस टु थ्री बाई थ्री बास्केटबल प्रतियोगिताको उपाधि आइतबार जितेको छ । ग्रिनफिल्ड ब्वाइज तथा गोल्डेनगेट गर्ल्स च्याम्पियन बने । नेपाल बास्केटबल संघद्वारा आयोजित प्रतियोगिताको ब्वाइज फाइनलमा ग्रिनफिल्डले मनास्लु वर्ल्ड कलेजलाई २१–१७ ले पराजित गर्‍यो ।  संग्रह  सेयर,sports
सिद्धान्त र इशालाई स्वर्णकान्तिपुर संवाददातासिद्धान्त बलामीले ११ औं कोरियन एम्बासडर खुला अन्तर्राष्ट्रिय तेक्वान्दो प्रतियोगिताको अन्तिम दिन आइतबार स्वर्ण जितेका छन् । नेपालस्थित दक्षिण कोरियाली दूतावास र नेपाल तेक्वान्दो संघद्वारा संयुक्त आयोजित प्रतियोगिताको सिनियर पुरुष ७३ केजीमुनि फाइनलमा नागार्जुन डोजाङका सिद्धान्तले आयुष चौधरीलाई पराजित गरे ।  संग्रह  सेयर,sports
"मेगस, स्वर्णिम र जनसेवाको जितकान्तिपुर संवाददातारेडियन्ट पब्लिकका दुवै टिम, आयोजक पुष्पसदन, रेडियन्ट पब्लिक, जनसेवा, स्वर्णिम र आईएमएस स्कुल तेस्रो संस्करणको पुष्पसदनको बास्केटबल प्रतियोगिताअन्तर्गत आइतबार सम्पन्न अन्य खेलहरूमा विजयी भएका छन् ।  संग्रह  सेयर",sports
"वर्षा, रन र कीर्तिमानकान्तिपुर संवाददातातीन साताको खेल र वर्षापछि एसियाको सबैभन्दा ठूलो प्रतियोगिता आइतबार सकिएको छ र एसिया कपको त्यस फाइनलमा भारतले श्रीलंकालाई सजिलै १० विकेटले पनि हरायो । पाकिस्तान र श्रीलंकामा आयोजित ५० ओभरको प्रतियोगिता अब आउने विश्वकपका लागि लय समाउने अवसर पनि रह्यो, सहभागी छ टिममध्ये पाँचका लागि । अबको एकदिवसीय विश्वकप भारतमा आयोजना हुँदै छ । फ्रान्सेली समाचार संस्था एएफपीले यस प्रतियोगिताका पाँच मुख्य विशेषता निकालेको छ र ती यस प्रकार छन् ।  संग्रह  सेयर",sports
भारत आठौंपल्ट च्याम्पियनएएफपीपेस बलर मोहम्मद सिराजले २१ रन खर्चेर छ विकेट लिँदै गरेको उत्कृष्ट प्रदर्शनको मद्दतले भारतले श्रीलंकालाई आइतबार १० विकेटले पराजित गर्दै आठौंपल्ट एसिया कप जितेको छ । सिराजले एकै ओभरमा चार विकेट लिएपछि श्रीलंका १५.२ ओभरमा ५० रनमै समेटिएको थियो ।  संग्रह  सेयर,sports
श्रीलंकालाई १० विकेटले हराउँदै भारतले जित्यो एशिया कपकान्तिपुर संवाददातामोहम्मद सिराजको उत्कृष्ट बलिङमा भारतले श्रीलंकालाई १० विकेट पराजित गर्दै एशिया कप क्रिकेटको उपाधि जितेको छ । कोलम्बोमा आइतबार भएको फाइनल खेलमा भारतीय बलर सिराजले ६ विकेट लिएपछि श्रीलंका ५० रनमा अल आउट भएको थियो ।  संग्रह  सेयर,sports
दौडमा अनोज र सुष्मालाई स्वर्णकान्तिपुर संवाददाताबूढानीलकण्ठ स्कुलका अनोज खड्का र सुष्मा यादवले आइतबार तेस्रो चेल्सी अन्तरस्कुल रेड रेसमा स्वर्ण पदक जितेका छन् । ४.५ किलोमिटर दूरीको दौड अनोजले निर्धारित दूरी १६.५१ मिनेटमा पूरा गरे । विजय बुढा मगर १६.५२ मिनेटमा दोस्रो तथा विवेक लामा १६.५३ मिनेटमा तेस्रो भए ।  संग्रह  सेयर,sports
४६५० मिटर उचाइको कोर्समा श्याम च्याम्पियनकान्तिपुर संवाददातागल्फर श्याम तामाङले शनिबार टप अफ द वर्ल्ड गल्फ क्लासिकको उपाधि लगातार दोस्रो पटक जितेका छन् । मुस्ताङ गल्फ कोर्समा स्टेबलफोर्ड फुल ह्यान्डीक्याप फर्म्याटमा भएको ९ होलको प्रतियोगितामा साबिक विजेता श्यामले १९ अंकसहित उपाधि रक्षा गरे । उनले लीलाजंग गुरुङलाई हराए । उनले १८ अंक बटुल्दै दोस्रो स्थान हात पारे ।  संग्रह  सेयर,sports
ब्रेन्टफोर्डलाई हराएपछि न्युकासललाई राहतएजेन्सीन्युकासल युनाइटेडले इंग्लिस प्रिमियर लिगमा शनिबार ब्रेन्टफोर्डलाई १–० ले हराएको छ र यससँगै राहत महसुस गरेको छ । सेन्ट जेम्स पार्कमा भएको खेलमा न्युकासलका लागि कलम विल्सनले पेनाल्टीबाट निर्णायक गोल गरे ।  संग्रह  सेयर,sports
इन्टरको शतप्रतिशत सुरुआत कायमएजेन्सीइन्टर मिलानले इटालीको सिरी ए मा आफ्नो शतप्रतिशत सुरुआत कायम राख्दै शनिबार एसी मिलानमाथि ५–१ को प्रभावशाली जित निकालेको छ । इन्टरका लागि हेनरिक मिखिटारयेनले दुई गोल गरे ।  संग्रह  सेयर,sports
अपराजित बार्सिलोना शीर्षमाएजेन्सीबार्सिलोनाले स्पेनी ला लिगामा शनिबार रियल बेटिसलाई सजिलै ५–० ले पराजित गर्दै अंक तालिकाको शीर्ष स्थानमा उक्लेको छ । बार्सिलोना नयाँ सिजनको पाँच लिग खेलमा अपराजित छ ।  संग्रह  सेयर,sports
अस्करमा नेपालबाट ‘हल्कारा’ पठाइनेरासस एकेडेमी अफ मोसन पिक्चर आर्टस् एन्ड साइन्सेस (अस्कर अवार्ड) को ९६औँ संस्करणमा अन्तर्राष्ट्रिय फिचर चलचित्र विधामा नेपालको प्रतिनिधित्व चलचित्र ‘हल्कारा’ ले गर्ने भएको छ ।  संग्रह  सेयर,entertainment
कथा वाचनमा चुकेको ‘एक भागवत र एक गीता’रीना मोक्ताननेपाली फिल्ममा मधेशको कथा बिरलै देख्न पाइन्छ । मधेशी चरित्रको गलत चित्रणको आरोप नेपाली फिल्मले खेप्दै आएको पुरानै विषय हो । त्यसैले होला दर्शकको ठूलो सम्भावना बोकेको मधेश नेपाली फिल्मबाट अझै परै देखिन्छ । मधेशका हलमा नेपाली फिल्म बिरलै रुचाइन्छन् । आफूलाई प्रतिनिधित्त्व नगर्ने फिल्मलाई मधेशका दर्शकले अंगालुन् पनि कसरी ?  संग्रह  सेयर,entertainment
‘डिजाइनर्स रनवे’ मा सेलेब्रिटी चालकान्तिपुर संवाददाताफेसनसम्बन्धी नयाँ तथा फरक डिजाइन प्रस्तुत गर्ने उद्देश्यले ‘आईईसी डिजाइनर्स रनवे १२’ को आयोजना गरिएको छ । आईईसी कलेजले शुक्रबार काठमाडौंको याक एन्ड यती होटलमा गरेका सोमा मोडलहरूले ५१ डिजाइनरले तयार पारेका डिजाइनहरू प्रस्तुत गरे ।  संग्रह  सेयर,entertainment
'आईईसी डिजाइनर्स रनवे १२' सम्पन्‍नकान्तिपुर संवाददाताआईईसी कलेज अफ आर्ट्स एण्ड फेसनका २०२० ब्याचले आयोजना गरेको फेसन सो 'आइइसी डिजाइनर्स रनवे १२' सम्पन्न भएको छ । शुक्रबार काठमाडौंको याक एण्ड यतिमा आयोजित सोमा मोडलहरुले राष्ट्रिय र अन्तर्राष्ट्रिय दर्शकबीच र्‍याम्प नापेका छन् ।  संग्रह  सेयर,entertainment
'इन्ससेन्ट रेन' ले सुरु गर्‍यो एनिमेसनमा महिलाकान्तिपुर संवाददाताएनिमेसनमा लैङ्गिक समानता कायम गर्ने उद्देश्यसहित 'इन्ससेन्ट रेन'ले वुमन इन एनिमेसन (वीया) नेपाल च्याप्टर सुरु गरेको छ ।  संग्रह  सेयर,entertainment
‘तीतो बोली सच्चा गुण’ मञ्चनकान्तिपुर संवाददाताविराटनगरमा जारी विद्यालय नाटक महोत्सव २०८० अन्तर्गत सोमबार हाटखोलास्थित आरोहण गुरुकुलको बालकृष्ण पोखरेल नाटक घरमा ‘तीतो बोली सच्चा गुण’ नाटक मञ्चन भएको छ । लोकेश दंगालको निर्देशनमा तयार नाटक ग्रेडेड इंग्लिस मिडियम सेकेन्डरी स्कुलका विद्यार्थीले मञ्चन गरेका हुन् ।  संग्रह  सेयर,entertainment
टिफमा 'गाउँ आएको बाटो'को वर्ल्ड प्रिमियरकान्तिपुर संवाददाताटोरोन्टो फिल्म फेस्टिभल(टिफ)मा नवीन सुब्बा निर्देशित 'गाउँ आएको बाटो'को वर्ल्ड प्रिमियर सम्पन्न भएको छ । प्रदर्शनपछि दर्शकहरूबीच भएको अन्तरक्रियामा अभिनेता दयाहाङ राईले नेपाली फिल्मले नेपाली कथा र जनजीवन जोड्न थालेको प्रसंग सुनाए ।  संग्रह  सेयर,entertainment
'एक भगवत गीता'को नाम परिवर्तनकान्तिपुर संवाददाताविवादमा तानिएको 'एक भगवत गीता'को नाम परिवर्तन गर्ने निर्णयसँगै फिल्म प्रदर्शनमा आउने तय भएको छ । प्रदर्शनको ४ दिनअघि परिवर्तित नाम 'एक भागवत् र एक गीता' अनि कोष्ठकमा सामाजिक कथा लेख्ने सहमतिसँगै फिल्मको विवाद टुंगिएको हो ।  संग्रह  सेयर,entertainment
अमृतको शब्दमा सविनाको ‘रहर’कान्तिपुर संवाददातागीतकार अमृत परियारको शब्द र गायिका सविना सुनामको स्वर रहेको आधुनिक गीत ‘रहर’ को म्युजिक भिडियो शनिबार पोखरामा सार्वजनिक गरिएको छ । साहित्यकार सरुभक्तले उक्त म्युजिक भिडियोको लोकार्पण गरे ।  संग्रह  सेयर,entertainment
जेन दिपिका बनिन् मिस युनिभर्स नेपालकान्तिपुर संवाददाताजेन दिपिका यस वर्षको मिस युनिभर्स नेपाल बनेकी छन् । २१ प्रतिस्पर्धीलाई पछाडि पार्दै मिस युनिभर्स नेपालको चौथो शृंखलाको उपाधि दिपिकाले जितेकी हुन् ।  संग्रह  सेयर,entertainment
